               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026595,           0.0086926,           0.0088817,             0.92778,             0.89234,             0.92949,              0.6846,            0.017388,           0.0030406,            0.004929,            0.008317,            0.008317,            0.008317
                  36,            0.026426,           0.0084596,           0.0085004,             0.89426,             0.91848,             0.92698,             0.68779,            0.017072,           0.0030643,            0.005189,           0.0082675,           0.0082675,           0.0082675
                  37,              0.0261,           0.0084295,           0.0074914,             0.91415,             0.91405,             0.93101,             0.69433,            0.016658,           0.0029688,           0.0050855,            0.008218,            0.008218,            0.008218
                  38,            0.026257,           0.0085118,           0.0079787,             0.92507,             0.89549,             0.92957,              0.6889,            0.017353,            0.002978,            0.005598,           0.0081685,           0.0081685,           0.0081685
                  39,            0.025904,           0.0083454,           0.0076224,             0.92425,             0.89987,             0.93236,             0.69615,            0.017053,           0.0029762,           0.0052974,            0.008119,            0.008119,            0.008119
                  40,            0.025814,           0.0082603,            0.007239,             0.89848,              0.9161,              0.9429,             0.70152,            0.017051,           0.0029446,           0.0048518,           0.0080695,           0.0080695,           0.0080695
                  41,            0.025374,           0.0084081,           0.0075529,             0.91257,             0.90272,              0.9364,             0.69675,            0.017119,           0.0028835,           0.0047607,             0.00802,             0.00802,             0.00802
                  42,            0.025554,           0.0083964,           0.0074989,             0.90566,             0.92428,             0.92936,             0.69087,             0.01702,           0.0029115,           0.0054485,           0.0079705,           0.0079705,           0.0079705
                  43,             0.02522,           0.0082151,            0.007237,             0.92895,             0.91535,             0.93191,              0.6928,             0.01718,           0.0028639,           0.0054828,            0.007921,            0.007921,            0.007921
                  44,               0.025,           0.0082626,           0.0069361,              0.9224,             0.92397,             0.93295,             0.69457,            0.017078,           0.0028811,           0.0056436,           0.0078715,           0.0078715,           0.0078715
                  45,            0.025254,           0.0081031,           0.0072611,             0.91573,             0.92651,             0.93761,             0.70155,            0.016855,           0.0028841,           0.0047464,            0.007822,            0.007822,            0.007822
