               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080478,            0.018654,            0.034178,          0.00099173,             0.31911,          0.00071237,          0.00016303,            0.061935,           0.0068103,            0.025948,            0.070027,           0.0033303,           0.0033303
                   1,            0.072696,            0.016471,            0.032464,           0.0013598,              0.4995,           0.0054456,           0.0017952,            0.054151,             0.00765,            0.025331,            0.039961,           0.0065977,           0.0065977
                   2,            0.065536,            0.016854,            0.031997,           0.0028055,             0.83338,            0.034436,            0.010559,            0.048288,            0.007127,            0.023685,           0.0098294,            0.009799,            0.009799
                   3,            0.058083,            0.016406,             0.03026,             0.31029,             0.13375,             0.15261,            0.055618,            0.038388,           0.0077486,            0.019733,            0.009703,            0.009703,            0.009703
                   4,            0.052867,            0.016069,            0.028272,              0.3321,             0.28236,             0.21401,            0.088046,            0.036256,           0.0069078,            0.017766,            0.009703,            0.009703,            0.009703
                   5,            0.048038,            0.015629,            0.025157,             0.51153,             0.36574,              0.4026,             0.19408,            0.030857,           0.0065237,            0.014341,            0.009604,            0.009604,            0.009604
                   6,            0.045636,            0.014985,            0.023358,             0.51726,             0.45562,             0.48045,             0.22498,            0.030346,            0.006349,             0.01356,            0.009505,            0.009505,            0.009505
                   7,            0.043144,            0.014567,            0.021749,               0.585,             0.49949,             0.54004,             0.28463,            0.027872,           0.0057698,            0.013534,            0.009406,            0.009406,            0.009406
                   8,            0.042288,             0.01414,            0.020968,             0.60957,             0.53148,             0.62397,             0.32336,             0.02684,           0.0055144,            0.011452,            0.009307,            0.009307,            0.009307
                   9,            0.040375,            0.013575,            0.018906,             0.75432,             0.55471,             0.66106,             0.35836,            0.026535,           0.0052226,            0.012096,            0.009208,            0.009208,            0.009208
                  10,             0.03825,            0.013202,            0.017542,             0.75177,             0.69608,             0.75914,             0.42928,             0.02482,           0.0050869,           0.0096185,            0.009109,            0.009109,            0.009109
                  11,            0.037715,            0.012591,            0.017275,             0.68347,             0.67492,             0.73759,             0.44376,            0.023713,           0.0047686,            0.010335,             0.00901,             0.00901,             0.00901
                  12,             0.03668,            0.012355,            0.016169,             0.74856,              0.6179,             0.70034,             0.41737,            0.024143,           0.0049114,            0.014333,            0.008911,            0.008911,            0.008911
                  13,            0.035828,            0.011859,            0.015521,             0.79182,              0.6815,              0.7741,             0.48401,            0.023166,           0.0044643,           0.0095369,            0.008812,            0.008812,            0.008812
                  14,            0.034819,            0.011709,             0.01446,             0.78875,             0.72559,             0.78847,             0.50542,            0.021951,           0.0042982,            0.010017,            0.008713,            0.008713,            0.008713
                  15,            0.034381,            0.011504,            0.013958,              0.7571,             0.77829,             0.80663,             0.53021,            0.021126,           0.0043001,           0.0073355,            0.008614,            0.008614,            0.008614
                  16,            0.033785,             0.01135,            0.014322,             0.78382,              0.7445,             0.81185,             0.52576,            0.022329,            0.004371,           0.0090046,            0.008515,            0.008515,            0.008515
                  17,            0.033606,             0.01126,            0.013417,             0.80521,             0.75547,             0.82605,              0.5496,            0.020693,           0.0041244,           0.0091344,            0.008416,            0.008416,            0.008416
                  18,            0.033011,            0.010735,            0.012481,             0.84376,             0.77953,             0.85569,             0.57524,            0.021105,           0.0039808,           0.0074123,            0.008317,            0.008317,            0.008317
                  19,            0.032142,            0.010677,             0.01229,             0.85886,             0.77961,             0.87094,             0.58508,            0.019963,           0.0038921,           0.0067177,            0.008218,            0.008218,            0.008218
                  20,            0.031466,            0.010457,             0.01226,             0.85139,             0.82557,             0.87436,             0.60042,             0.01996,           0.0038242,           0.0059335,            0.008119,            0.008119,            0.008119
                  21,            0.030866,            0.010256,            0.010881,             0.89888,             0.81334,             0.89576,             0.63019,            0.019189,           0.0036915,           0.0063786,             0.00802,             0.00802,             0.00802
                  22,             0.03079,            0.010091,            0.011372,             0.87075,             0.81558,             0.88133,             0.63016,            0.019277,           0.0036689,           0.0077563,            0.007921,            0.007921,            0.007921
