                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0772,                0.97283,                 1.4729,                0.93857,                0.89977,                0.94467,                0.65217,                 1.1864,                0.66958,                 1.4694,               0.007756,               0.007756,               0.007756
                     37,                 1.0743,                0.96589,                 1.4733,                0.93234,                0.90032,                0.94493,                0.65367,                   1.19,                0.67036,                 1.4607,                0.00769,                0.00769,                0.00769
                     38,                 1.0635,                0.94919,                 1.4609,                0.96008,                0.90011,                0.94558,                0.64661,                 1.2151,                 0.6528,                 1.4866,               0.007624,               0.007624,               0.007624
                     39,                 1.0582,                 0.9526,                 1.4556,                0.94862,                0.91301,                0.94846,                0.64324,                 1.2123,                0.66228,                 1.4747,               0.007558,               0.007558,               0.007558
                     40,                 1.0528,                 0.9478,                 1.4494,                0.95098,                0.90501,                0.95031,                0.65663,                   1.17,                0.63837,                 1.4449,               0.007492,               0.007492,               0.007492
                     41,                 1.0474,                0.93322,                 1.4454,                0.95871,                0.90057,                0.94971,                0.64952,                  1.182,                0.63857,                 1.4537,               0.007426,               0.007426,               0.007426
                     42,                 1.0416,                0.91532,                 1.4423,                0.94679,                0.91696,                0.94791,                0.66045,                 1.1488,                0.63709,                 1.4314,                0.00736,                0.00736,                0.00736
                     43,                 1.0384,                0.91836,                 1.4369,                0.95229,                0.90413,                0.94778,                0.67003,                 1.1307,                0.62279,                 1.4216,               0.007294,               0.007294,               0.007294
                     44,                 1.0192,                0.89221,                 1.4203,                0.95209,                0.90354,                0.95144,                0.67346,                 1.1291,                0.61583,                 1.4186,               0.007228,               0.007228,               0.007228
                     45,                 1.0188,                0.89947,                 1.4216,                0.94452,                0.91299,                0.95007,                 0.6722,                 1.1288,                0.62308,                 1.4183,               0.007162,               0.007162,               0.007162
                     46,                 1.0201,                0.89355,                 1.4145,                0.95377,                0.91223,                0.95031,                0.67138,                 1.1331,                0.62779,                 1.4175,               0.007096,               0.007096,               0.007096
                     47,                 1.0058,                0.87747,                 1.3994,                0.95271,                0.91926,                0.95054,                0.67184,                 1.1371,                0.63248,                 1.4131,                0.00703,                0.00703,                0.00703
                     48,                 1.0091,                0.87966,                 1.4092,                0.95625,                0.91402,                0.94842,                0.67308,                   1.13,                0.61886,                 1.4084,               0.006964,               0.006964,               0.006964
                     49,                0.99736,                0.87676,                  1.401,                0.95922,                0.92044,                0.94877,                0.66994,                 1.1354,                0.62528,                 1.4188,               0.006898,               0.006898,               0.006898
                     50,                0.98977,                0.85018,                 1.3875,                0.95277,                0.92215,                0.95015,                0.67285,                 1.1192,                0.60667,                 1.4035,               0.006832,               0.006832,               0.006832
                     51,                0.99437,                0.85678,                 1.3909,                0.95254,                0.92003,                0.95154,                0.67458,                 1.1146,                0.60513,                 1.3985,               0.006766,               0.006766,               0.006766
                     52,                0.98926,                0.86038,                 1.3868,                0.94867,                 0.9166,                0.95239,                0.67982,                  1.114,                0.61351,                 1.3981,                 0.0067,                 0.0067,                 0.0067
                     53,                0.98212,                0.84239,                 1.3769,                0.94914,                 0.9144,                0.95084,                0.67924,                 1.1235,                 0.6144,                  1.408,               0.006634,               0.006634,               0.006634
                     54,                 0.9714,                 0.8369,                 1.3751,                0.95431,                0.91575,                0.95152,                0.67729,                 1.1218,                0.59929,                 1.4045,               0.006568,               0.006568,               0.006568
                     55,                0.96906,                0.82249,                 1.3658,                0.95372,                  0.921,                0.95048,                0.68117,                 1.1179,                0.59936,                 1.4036,               0.006502,               0.006502,               0.006502
                     56,                0.96901,                0.81872,                 1.3664,                0.96092,                0.91988,                0.95033,                0.68197,                  1.116,                  0.598,                 1.4024,               0.006436,               0.006436,               0.006436
                     57,                0.96557,                0.81836,                  1.369,                0.95972,                0.91926,                0.95054,                 0.6836,                 1.1075,                0.59177,                 1.3986,                0.00637,                0.00637,                0.00637
                     58,                0.95599,                0.81342,                 1.3601,                0.95982,                0.91901,                0.95074,                0.68451,                 1.1011,                0.59508,                 1.3953,               0.006304,               0.006304,               0.006304
                     59,                0.95461,                0.79986,                 1.3503,                0.95663,                0.92856,                 0.9519,                0.68536,                 1.1023,                 0.5895,                  1.395,               0.006238,               0.006238,               0.006238
                     60,                 0.9548,                0.81009,                 1.3552,                0.95955,                0.91965,                0.95346,                0.68501,                 1.1031,                0.58553,                 1.3949,               0.006172,               0.006172,               0.006172
                     61,                0.94713,                0.79314,                 1.3476,                 0.9576,                0.92398,                0.95422,                0.68827,                 1.0986,                0.58746,                 1.3921,               0.006106,               0.006106,               0.006106
                     62,                0.94204,                0.79693,                 1.3371,                0.96193,                0.91979,                 0.9537,                0.69077,                 1.0971,                0.58566,                  1.391,                0.00604,                0.00604,                0.00604
                     63,                0.93555,                0.77403,                 1.3344,                0.95678,                 0.9202,                0.95438,                0.69209,                 1.0926,                 0.5866,                 1.3868,               0.005974,               0.005974,               0.005974
                     64,                0.93296,                0.77854,                 1.3268,                0.95883,                0.91979,                0.95396,                0.69259,                 1.0863,                0.58044,                 1.3822,               0.005908,               0.005908,               0.005908
                     65,                0.93063,                0.77246,                 1.3279,                0.96067,                0.92381,                0.95586,                0.69528,                 1.0822,                0.57978,                 1.3785,               0.005842,               0.005842,               0.005842
                     66,                0.92882,                0.76888,                 1.3258,                0.96088,                0.92642,                0.95505,                0.69442,                 1.0816,                0.57832,                 1.3786,               0.005776,               0.005776,               0.005776
                     67,                 0.9182,                0.75443,                 1.3216,                0.96034,                  0.924,                 0.9537,                  0.695,                  1.081,                0.57792,                 1.3778,                0.00571,                0.00571,                0.00571
                     68,                0.91638,                0.75509,                 1.3135,                0.95964,                0.92522,                0.95208,                0.69586,                 1.0792,                 0.5747,                 1.3747,               0.005644,               0.005644,               0.005644
