                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79375,                0.66614,                 1.1844,                0.95996,                0.85345,                0.92949,                0.78345,                0.68193,                0.58706,                 1.1396,             0.00082925,             0.00082925,             0.00082925
                     37,                0.77953,                 0.6468,                 1.1633,                0.93837,                0.90307,                0.92512,                0.80413,                0.63214,                0.53923,                 1.0917,             0.00081688,             0.00081688,             0.00081688
                     38,                0.75652,                0.62825,                 1.1519,                0.90702,                0.87353,                0.90495,                0.74901,                0.73093,                0.60088,                 1.1854,              0.0008045,              0.0008045,              0.0008045
                     39,                0.76276,                0.60947,                 1.1566,                0.93099,                0.89876,                0.93575,                0.76324,                0.69944,                0.52415,                 1.1518,             0.00079213,             0.00079213,             0.00079213
                     40,                0.74229,                0.65869,                 1.1423,                0.91245,                0.85552,                0.92207,                0.73994,                0.70478,                0.61046,                 1.1278,             0.00077975,             0.00077975,             0.00077975
                     41,                0.77182,                0.66043,                 1.1591,                0.87326,                0.90414,                0.91783,                0.75835,                0.72566,                0.61929,                 1.1202,             0.00076738,             0.00076738,             0.00076738
                     42,                0.73403,                0.61421,                 1.1305,                0.93128,                0.88301,                 0.9279,                0.75861,                0.68797,                0.60621,                 1.1006,               0.000755,               0.000755,               0.000755
                     43,                0.73993,                0.64205,                 1.1454,                 0.9405,                0.92441,                0.93669,                0.76827,                0.70496,                0.53671,                 1.1358,             0.00074263,             0.00074263,             0.00074263
                     44,                0.74679,                0.62021,                 1.1479,                0.90906,                0.90388,                0.92723,                0.74321,                0.75829,                0.58622,                 1.1654,             0.00073025,             0.00073025,             0.00073025
                     45,                0.72817,                0.59956,                 1.1292,                0.92889,                0.85233,                0.91431,                0.75548,                0.75743,                0.60598,                 1.1908,             0.00071788,             0.00071788,             0.00071788
                     46,                0.74615,                0.64937,                 1.1575,                0.86664,                0.90639,                0.92201,                0.78246,                0.67854,                0.56083,                 1.1216,              0.0007055,              0.0007055,              0.0007055
                     47,                0.75507,                0.63716,                 1.1528,                0.91589,                0.89575,                0.91792,                0.76751,                0.66114,                0.56325,                 1.0946,             0.00069313,             0.00069313,             0.00069313
                     48,                0.74029,                0.62575,                 1.1496,                0.90749,                0.87353,                0.91309,                0.76282,                0.69818,                0.58656,                  1.136,             0.00068075,             0.00068075,             0.00068075
                     49,                 0.7245,                0.59278,                 1.1273,                0.94178,                0.86025,                0.93401,                0.79115,                0.65414,                0.53326,                 1.0994,             0.00066838,             0.00066838,             0.00066838
                     50,                0.72376,                0.59246,                 1.1248,                0.89155,                0.88247,                0.93053,                0.76906,                0.69423,                 0.5648,                 1.1339,               0.000656,               0.000656,               0.000656
                     51,                0.69633,                0.58339,                 1.1072,                0.92523,                0.85016,                0.93512,                0.76994,                0.70349,                0.55197,                 1.1678,             0.00064362,             0.00064362,             0.00064362
                     52,                0.69296,                0.57666,                 1.1007,                0.91746,                0.84134,                 0.9464,                0.77769,                0.70885,                0.52985,                 1.1793,             0.00063125,             0.00063125,             0.00063125
                     53,                0.71459,                0.57364,                  1.128,                0.91562,                0.87891,                 0.9048,                0.75589,                0.70203,                0.56982,                 1.1389,             0.00061887,             0.00061887,             0.00061887
                     54,                0.69741,                0.57546,                 1.1066,                0.92744,                0.87946,                0.93032,                0.75978,                0.69897,                0.55674,                 1.1557,              0.0006065,              0.0006065,              0.0006065
                     55,                 0.7068,                0.57283,                 1.1163,                0.93484,                0.86018,                0.94036,                0.77918,                0.69306,                0.52931,                 1.1408,             0.00059413,             0.00059413,             0.00059413
                     56,                0.68656,                0.57149,                 1.1057,                0.92559,                0.90175,                 0.9432,                0.78977,                0.70004,                0.50059,                 1.1672,             0.00058175,             0.00058175,             0.00058175
                     57,                0.70721,                0.56501,                 1.1118,                0.92077,                0.87461,                0.94021,                0.77128,                0.70896,                0.51627,                 1.1654,             0.00056938,             0.00056938,             0.00056938
                     58,                0.68422,                0.55769,                 1.1064,                0.90729,                0.90018,                0.92911,                0.77912,                0.71679,                0.56545,                   1.15,               0.000557,               0.000557,               0.000557
                     59,                0.66891,                0.51916,                  1.094,                0.89635,                0.87326,                0.92334,                 0.7818,                0.63656,                0.56428,                 1.1122,             0.00054463,             0.00054463,             0.00054463
                     60,                0.66557,                0.54727,                  1.092,                0.88746,                0.88077,                0.92645,                0.76472,                0.65609,                0.57073,                 1.1366,             0.00053225,             0.00053225,             0.00053225
                     61,                0.66355,                0.55155,                 1.0908,                0.93415,                0.85021,                0.91704,                0.77001,                0.66875,                0.55558,                 1.1308,             0.00051988,             0.00051988,             0.00051988
                     62,                0.66615,                0.54038,                 1.0862,                 0.9332,                0.88333,                0.92218,                0.77932,                0.67983,                 0.5306,                  1.148,              0.0005075,              0.0005075,              0.0005075
                     63,                0.66416,                0.50435,                 1.0802,                0.90923,                0.86673,                0.91569,                 0.7597,                0.71249,                0.57248,                 1.1486,             0.00049513,             0.00049513,             0.00049513
                     64,                0.66342,                 0.5262,                 1.0762,                0.86458,                0.92627,                0.91237,                0.75572,                0.67653,                0.54139,                 1.1553,             0.00048275,             0.00048275,             0.00048275
                     65,                0.63524,                0.51855,                 1.0814,                  0.944,                0.87056,                0.93204,                0.75189,                0.70895,                0.53322,                 1.1809,             0.00047038,             0.00047038,             0.00047038
                     66,                0.63469,                0.51758,                 1.0716,                0.95014,                 0.8663,                0.91447,                0.75703,                0.67994,                0.52651,                 1.1575,               0.000458,               0.000458,               0.000458
                     67,                0.62766,                 0.5126,                 1.0733,                0.93588,                0.87353,                0.92215,                0.76541,                 0.6806,                 0.5735,                 1.1546,             0.00044563,             0.00044563,             0.00044563
                     68,                0.63834,                0.52866,                 1.0808,                0.93492,                0.88009,                0.91279,                0.76653,                 0.6396,                0.56593,                 1.0977,             0.00043325,             0.00043325,             0.00043325
                     69,                0.63795,                0.50843,                 1.0788,                0.91793,                0.86373,                0.91632,                0.77348,                0.65241,                0.53113,                 1.1468,             0.00042087,             0.00042087,             0.00042087
                     70,                0.63624,                0.50548,                 1.0743,                0.91129,                0.88191,                0.92451,                  0.774,                0.66099,                0.53009,                 1.1309,              0.0004085,              0.0004085,              0.0004085
                     71,                0.66445,                0.55337,                 1.0744,                0.91426,                0.87353,                  0.921,                0.76346,                0.67244,                0.54341,                 1.1432,             0.00039613,             0.00039613,             0.00039613
                     72,                0.63521,                0.51452,                 1.0729,                0.90223,                0.88333,                0.91269,                0.75572,                0.67324,                0.54388,                 1.1141,             0.00038375,             0.00038375,             0.00038375
                     73,                0.63548,                0.50367,                 1.0735,                0.93543,                0.87963,                0.91908,                0.75931,                0.69061,                0.53253,                 1.1557,             0.00037138,             0.00037138,             0.00037138
                     74,                0.62859,                 0.5074,                 1.0705,                0.89642,                0.88333,                0.90884,                0.76697,                0.68543,                0.58565,                 1.1525,               0.000359,               0.000359,               0.000359
                     75,                0.62268,                0.50652,                 1.0587,                0.92983,                0.85334,                0.90425,                0.75462,                0.69591,                0.58166,                 1.1713,             0.00034663,             0.00034663,             0.00034663
                     76,                0.61075,                0.49011,                 1.0608,                0.94985,                0.87539,                0.91156,                0.75598,                0.69072,                0.53363,                 1.1722,             0.00033425,             0.00033425,             0.00033425
                     77,                0.59205,                  0.473,                 1.0491,                0.94298,                0.88037,                0.92411,                 0.7677,                0.69241,                0.53583,                  1.154,             0.00032188,             0.00032188,             0.00032188
                     78,                0.61474,                0.47939,                 1.0601,                0.95026,                0.87915,                0.90969,                0.75866,                0.69623,                0.52558,                 1.1843,              0.0003095,              0.0003095,              0.0003095
                     79,                0.60228,                0.48961,                 1.0545,                 0.9436,                0.87571,                0.90432,                0.75822,                0.68143,                 0.5365,                 1.1609,             0.00029713,             0.00029713,             0.00029713
                     80,                0.60709,                0.48578,                 1.0563,                 0.9465,                0.88333,                0.90898,                0.76361,                0.67932,                0.56012,                 1.1419,             0.00028475,             0.00028475,             0.00028475
                     81,                0.60787,                0.49062,                 1.0534,                0.94115,                0.88083,                0.91587,                0.77687,                0.68881,                0.54826,                 1.1308,             0.00027237,             0.00027237,             0.00027237
                     82,                0.60118,                0.47479,                 1.0514,                0.93979,                0.88306,                0.91792,                0.77355,                0.65579,                0.54719,                 1.1076,                0.00026,                0.00026,                0.00026
                     83,                0.61227,                0.48177,                 1.0524,                0.93777,                0.88333,                0.92378,                0.77944,                0.67552,                0.52964,                 1.1284,             0.00024762,             0.00024762,             0.00024762
                     84,                0.59866,                0.48057,                 1.0534,                0.93418,                0.88258,                0.91938,                0.76644,                0.65219,                0.55773,                 1.1021,             0.00023525,             0.00023525,             0.00023525
                     85,                0.58511,                0.46881,                 1.0366,                0.89786,                0.87071,                0.92083,                0.78167,                0.65399,                0.54463,                 1.1227,             0.00022288,             0.00022288,             0.00022288
                     86,                0.57941,                 0.4823,                   1.04,                0.90806,                 0.8722,                0.91446,                0.77062,                 0.6428,                0.56253,                 1.0875,              0.0002105,              0.0002105,              0.0002105
                     87,                0.58838,                 0.4713,                 1.0437,                0.90891,                0.87717,                0.91354,                0.77437,                0.65564,                0.55167,                 1.1135,             0.00019813,             0.00019813,             0.00019813
