                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0791,                0.99613,                 1.4679,                 0.8636,                0.84293,                0.88255,                0.61224,                 1.1473,                0.65874,                 1.4752,               0.006634,               0.006634,               0.006634
                     37,                 1.0751,                0.97343,                 1.4672,                0.90936,                0.80788,                0.89079,                0.61471,                 1.1395,                0.64092,                 1.4712,               0.006535,               0.006535,               0.006535
                     38,                 1.0638,                0.97539,                 1.4649,                0.90557,                0.84897,                0.88601,                0.62354,                 1.1423,                0.64201,                 1.4816,               0.006436,               0.006436,               0.006436
                     39,                 1.0665,                0.95384,                 1.4607,                0.84354,                0.86177,                0.88611,                0.61876,                 1.1427,                0.64465,                 1.4697,               0.006337,               0.006337,               0.006337
                     40,                 1.0496,                0.94932,                  1.447,                0.86266,                0.86734,                0.89159,                0.62079,                 1.1349,                0.63567,                 1.4612,               0.006238,               0.006238,               0.006238
                     41,                 1.0456,                0.93399,                  1.438,                0.91164,                0.83761,                0.89996,                0.62557,                 1.1249,                0.62476,                  1.455,               0.006139,               0.006139,               0.006139
                     42,                 1.0359,                0.92563,                 1.4291,                0.88241,                 0.8546,                0.89699,                0.63575,                  1.092,                0.62271,                 1.4294,                0.00604,                0.00604,                0.00604
                     43,                 1.0313,                0.91297,                 1.4239,                0.89801,                0.84507,                 0.8965,                0.63697,                 1.0983,                0.62388,                 1.4309,               0.005941,               0.005941,               0.005941
                     44,                 1.0176,                0.89904,                 1.4138,                0.88965,                0.85259,                0.89957,                0.63707,                 1.0967,                0.62641,                 1.4304,               0.005842,               0.005842,               0.005842
                     45,                 1.0157,                0.89811,                 1.4139,                0.90258,                0.84426,                0.89837,                0.64052,                 1.0935,                0.63086,                 1.4278,               0.005743,               0.005743,               0.005743
                     46,                 1.0079,                0.87688,                 1.4076,                0.93598,                0.83651,                0.90066,                0.64804,                 1.0871,                0.61895,                 1.4246,               0.005644,               0.005644,               0.005644
                     47,                 1.0091,                0.88379,                  1.403,                0.87397,                0.86833,                0.90343,                0.64671,                 1.0875,                0.61568,                 1.4278,               0.005545,               0.005545,               0.005545
                     48,                0.99989,                0.86916,                 1.3961,                0.90289,                0.85266,                0.90767,                0.64964,                 1.0835,                0.60103,                 1.4224,               0.005446,               0.005446,               0.005446
                     49,                0.99302,                 0.8621,                 1.3828,                0.91083,                 0.8518,                0.90324,                0.65143,                 1.0749,                0.59783,                 1.4139,               0.005347,               0.005347,               0.005347
                     50,                0.98708,                0.85163,                 1.3798,                0.91432,                0.84741,                0.90582,                0.65843,                 1.0688,                0.59635,                 1.4072,               0.005248,               0.005248,               0.005248
                     51,                0.97769,                0.83611,                 1.3696,                0.91555,                 0.8491,                0.90186,                0.65376,                 1.0676,                0.60046,                 1.4058,               0.005149,               0.005149,               0.005149
                     52,                0.96922,                0.83083,                 1.3671,                0.90986,                0.84359,                0.90091,                 0.6538,                 1.0628,                0.60143,                 1.4014,                0.00505,                0.00505,                0.00505
                     53,                0.96763,                0.83675,                 1.3606,                0.91725,                 0.8427,                 0.9025,                0.65842,                 1.0518,                0.59794,                 1.3915,               0.004951,               0.004951,               0.004951
                     54,                 0.9658,                0.81555,                 1.3567,                 0.9192,                0.84279,                0.90373,                0.66096,                 1.0473,                0.59593,                  1.388,               0.004852,               0.004852,               0.004852
                     55,                 0.9607,                0.81701,                 1.3578,                0.91259,                0.84876,                 0.9029,                0.66051,                 1.0433,                0.59447,                  1.387,               0.004753,               0.004753,               0.004753
                     56,                0.95237,                0.80881,                 1.3472,                0.91556,                0.84495,                0.90395,                  0.662,                 1.0436,                0.59206,                 1.3876,               0.004654,               0.004654,               0.004654
                     57,                 0.9524,                0.80225,                 1.3496,                0.91698,                0.83483,                0.90299,                0.66119,                 1.0401,                 0.5874,                 1.3843,               0.004555,               0.004555,               0.004555
                     58,                0.93541,                0.79335,                 1.3393,                0.91381,                0.83633,                0.90409,                0.66446,                 1.0381,                0.58526,                 1.3828,               0.004456,               0.004456,               0.004456
                     59,                0.93925,                0.79512,                 1.3389,                0.91244,                0.83591,                0.90371,                0.66632,                 1.0307,                0.58439,                 1.3762,               0.004357,               0.004357,               0.004357
                     60,                 0.9301,                0.78731,                 1.3303,                0.90975,                0.83533,                0.90393,                0.66948,                 1.0287,                0.58514,                 1.3746,               0.004258,               0.004258,               0.004258
                     61,                0.92084,                0.76095,                 1.3196,                0.90857,                0.83426,                0.90296,                0.66545,                  1.029,                 0.5879,                 1.3747,               0.004159,               0.004159,               0.004159
                     62,                0.91708,                 0.7629,                 1.3175,                0.90323,                0.83664,                    0.9,                0.66428,                 1.0277,                 0.5887,                 1.3726,                0.00406,                0.00406,                0.00406
                     63,                0.91239,                0.76234,                 1.3147,                0.90247,                0.83641,                0.89977,                 0.6618,                 1.0269,                0.58958,                 1.3715,               0.003961,               0.003961,               0.003961
                     64,                0.90757,                0.74958,                 1.3103,                0.90789,                0.83449,                0.90131,                0.66702,                 1.0237,                0.58872,                 1.3699,               0.003862,               0.003862,               0.003862
                     65,                0.90708,                 0.7515,                 1.3101,                0.87884,                0.84629,                 0.9013,                0.66782,                 1.0228,                0.58849,                 1.3684,               0.003763,               0.003763,               0.003763
                     66,                0.90378,                0.74995,                 1.3118,                0.86399,                0.86637,                0.90418,                0.66793,                 1.0212,                0.58448,                 1.3664,               0.003664,               0.003664,               0.003664
                     67,                0.89113,                0.73771,                 1.3005,                0.87612,                0.86512,                0.90438,                 0.6699,                 1.0204,                 0.5818,                 1.3657,               0.003565,               0.003565,               0.003565
                     68,                0.89056,                 0.7285,                 1.2972,                0.87452,                0.86489,                0.90479,                0.66896,                 1.0188,                0.58048,                 1.3639,               0.003466,               0.003466,               0.003466
                     69,                0.88155,                0.71375,                 1.2889,                0.87382,                0.86506,                0.90399,                0.66914,                 1.0176,                0.57849,                  1.363,               0.003367,               0.003367,               0.003367
                     70,                0.87276,                0.70725,                 1.2826,                0.87441,                  0.867,                0.90604,                0.66949,                  1.017,                0.57608,                 1.3627,               0.003268,               0.003268,               0.003268
                     71,                0.87717,                0.71338,                  1.281,                0.87793,                0.86882,                 0.9068,                0.67008,                 1.0165,                0.57419,                 1.3628,               0.003169,               0.003169,               0.003169
                     72,                0.87078,                0.70675,                 1.2776,                0.86595,                0.86922,                0.90778,                 0.6677,                 1.0151,                0.57501,                 1.3623,                0.00307,                0.00307,                0.00307
