                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9973,                 4.7389,                 3.8739,                0.18587,                0.10752,                0.10271,                0.03973,                 2.3744,                 4.3003,                 3.0673,               0.003332,               0.003332,               0.003332
                      2,                 2.0854,                 3.3365,                 2.7148,                0.29463,                 0.3323,                 0.2689,                0.12111,                  1.986,                 2.7294,                 2.4976,              0.0065993,              0.0065993,              0.0065993
                      3,                 1.8082,                 2.7744,                 2.3795,                0.44485,                0.48397,                0.44957,                0.20924,                 1.8669,                 2.4236,                 2.4338,              0.0098007,              0.0098007,              0.0098007
                      4,                 1.6903,                 2.4504,                 2.2473,                0.64177,                 0.5277,                0.63754,                0.32708,                 1.8363,                 1.9195,                 2.3507,               0.009703,               0.009703,               0.009703
                      5,                 1.5739,                 2.1732,                  2.136,                0.74393,                0.62387,                0.72175,                0.39357,                 1.7003,                 1.6808,                 2.2267,               0.009703,               0.009703,               0.009703
                      6,                 1.4918,                 1.9446,                 2.0483,                0.80307,                0.74441,                0.81076,                0.44204,                 1.6452,                 1.5898,                 2.1881,               0.009604,               0.009604,               0.009604
                      7,                 1.4528,                 1.8062,                 2.0022,                0.83118,                0.73721,                 0.8237,                0.44337,                 1.6673,                  1.351,                 2.1213,               0.009505,               0.009505,               0.009505
                      8,                 1.4063,                 1.7065,                 1.9578,                0.79496,                0.79535,                0.85653,                0.48016,                 1.5584,                 1.2886,                  2.092,               0.009406,               0.009406,               0.009406
                      9,                 1.3603,                 1.5981,                 1.9073,                0.86004,                0.81155,                0.87768,                0.49444,                 1.6288,                 1.1391,                 2.1332,               0.009307,               0.009307,               0.009307
                     10,                 1.3376,                  1.532,                 1.8857,                0.92369,                0.81774,                0.90767,                0.49954,                 1.5951,                 1.1561,                 2.1146,               0.009208,               0.009208,               0.009208
                     11,                 1.3156,                 1.4697,                 1.8659,                0.89323,                0.86819,                0.90748,                0.55148,                 1.4743,                 1.0937,                 1.9862,               0.009109,               0.009109,               0.009109
                     12,                  1.277,                 1.3856,                 1.8311,                0.93052,                0.86404,                  0.918,                0.54167,                 1.5195,                 1.0304,                 2.0057,                0.00901,                0.00901,                0.00901
                     13,                 1.2555,                 1.3273,                 1.8001,                0.89882,                0.88265,                0.92008,                0.52997,                 1.5868,                 1.0654,                 2.0603,               0.008911,               0.008911,               0.008911
                     14,                 1.2485,                 1.2957,                 1.7945,                 0.9334,                0.89508,                 0.9287,                0.57902,                 1.4639,                0.94956,                 1.9404,               0.008812,               0.008812,               0.008812
                     15,                 1.2261,                 1.2366,                   1.77,                0.90255,                0.85074,                0.91287,                0.54656,                 1.5212,                 1.0495,                 2.0212,               0.008713,               0.008713,               0.008713
