               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084679,            0.020937,            0.035126,          0.00040311,             0.23086,          0.00044624,          9.6594e-05,            0.060498,            0.006929,             0.02604,            0.070027,           0.0033303,           0.0033303
                   1,            0.074431,            0.016363,            0.032614,           0.0013304,             0.53333,           0.0044161,           0.0010866,            0.055981,           0.0074931,            0.026632,            0.040001,           0.0066372,           0.0066372
                   2,            0.068017,            0.016439,            0.032351,           0.0021086,             0.85756,            0.022034,           0.0066274,            0.046857,           0.0080115,            0.023039,           0.0099482,           0.0099178,           0.0099178
                   3,            0.058137,            0.016355,            0.030168,             0.28634,             0.12907,             0.10693,            0.044011,            0.038343,           0.0074185,            0.020983,           0.0098812,           0.0098812,           0.0098812
                   4,            0.051689,            0.015835,            0.028536,              0.4861,             0.30771,             0.32651,             0.16157,            0.033476,           0.0064761,            0.017129,           0.0098812,           0.0098812,           0.0098812
                   5,             0.04739,            0.015303,            0.025664,             0.29491,             0.44604,             0.26632,             0.12461,             0.03078,            0.012576,            0.014816,           0.0098416,           0.0098416,           0.0098416
                   6,            0.045019,            0.014685,            0.023447,             0.55953,             0.51137,             0.51931,             0.25929,            0.030137,           0.0060952,            0.013865,            0.009802,            0.009802,            0.009802
                   7,            0.042612,            0.014235,            0.022081,             0.59325,             0.52208,             0.54542,             0.29612,            0.028393,           0.0054346,            0.013559,           0.0097624,           0.0097624,           0.0097624
                   8,             0.04182,             0.01378,            0.020704,             0.65534,             0.54014,             0.62287,             0.32419,            0.027505,           0.0055097,            0.011002,           0.0097228,           0.0097228,           0.0097228
                   9,            0.040232,            0.013346,             0.01911,             0.61826,             0.60411,             0.66754,             0.38502,            0.026557,           0.0053837,            0.011178,           0.0096832,           0.0096832,           0.0096832
                  10,              0.0385,             0.01309,            0.017738,             0.74512,             0.67931,             0.72037,             0.40885,             0.02531,           0.0051756,           0.0099646,           0.0096436,           0.0096436,           0.0096436
                  11,            0.038106,            0.012675,            0.017856,             0.70345,             0.62576,             0.70181,             0.42656,            0.024545,           0.0049836,           0.0093259,            0.009604,            0.009604,            0.009604
                  12,            0.037004,            0.012551,            0.016487,             0.73916,             0.63619,             0.71347,              0.4216,            0.024692,           0.0051023,            0.012067,           0.0095644,           0.0095644,           0.0095644
                  13,            0.036292,            0.012049,            0.015776,             0.81907,             0.69957,             0.78499,             0.48495,             0.02363,           0.0045593,             0.00959,           0.0095248,           0.0095248,           0.0095248
                  14,            0.035547,            0.012011,            0.015082,             0.85103,             0.70229,             0.82535,             0.53353,            0.021934,           0.0043819,           0.0091386,           0.0094852,           0.0094852,           0.0094852
                  15,            0.035088,            0.011841,            0.014658,              0.8146,             0.76556,             0.81825,             0.52093,             0.02272,            0.004341,           0.0082248,           0.0094456,           0.0094456,           0.0094456
                  16,            0.034805,            0.011697,            0.015089,             0.81809,             0.72606,             0.82132,             0.52455,            0.022401,           0.0043418,            0.008108,            0.009406,            0.009406,            0.009406
                  17,            0.034457,            0.011503,            0.014169,             0.84079,             0.78449,             0.85762,             0.55807,             0.02169,           0.0041952,           0.0066027,           0.0093664,           0.0093664,           0.0093664
                  18,            0.034248,            0.011306,            0.013776,             0.80993,             0.75338,             0.81516,             0.52823,            0.021967,           0.0042108,           0.0092622,           0.0093268,           0.0093268,           0.0093268
                  19,            0.033692,            0.011271,            0.013723,             0.87028,             0.77052,             0.86911,             0.57519,            0.021594,           0.0040598,           0.0071031,           0.0092872,           0.0092872,           0.0092872
                  20,            0.032481,              0.0109,             0.01343,             0.87891,             0.77509,             0.86774,             0.57947,            0.021058,             0.00395,            0.007783,           0.0092476,           0.0092476,           0.0092476
                  21,            0.032117,            0.010703,            0.011997,              0.8835,             0.79226,             0.87117,             0.59234,            0.020183,           0.0038502,           0.0069483,            0.009208,            0.009208,            0.009208
                  22,            0.031821,            0.010612,            0.012601,             0.84644,              0.8045,             0.87562,             0.59732,            0.020132,            0.003841,           0.0069299,           0.0091684,           0.0091684,           0.0091684
                  23,             0.03121,            0.010331,            0.011945,             0.86671,             0.85347,             0.89791,             0.61318,            0.020058,           0.0036668,           0.0056003,           0.0091288,           0.0091288,           0.0091288
                  24,            0.030458,            0.010152,            0.011603,             0.87675,             0.86194,             0.90064,             0.63807,            0.019612,           0.0035952,           0.0063068,           0.0090892,           0.0090892,           0.0090892
                  25,            0.030349,            0.010211,              0.0111,             0.88302,             0.84178,             0.90184,             0.63048,            0.019969,           0.0035714,            0.006513,           0.0090496,           0.0090496,           0.0090496
                  26,            0.030241,            0.010121,            0.011002,             0.88996,             0.82224,             0.89572,             0.62967,            0.020013,           0.0035671,           0.0067299,             0.00901,             0.00901,             0.00901
                  27,            0.029928,           0.0099317,            0.010956,             0.88467,             0.84852,             0.90676,             0.64738,            0.018997,           0.0034087,           0.0055113,           0.0089704,           0.0089704,           0.0089704
                  28,            0.029544,             0.00985,            0.010687,             0.88602,             0.84942,             0.90172,               0.638,            0.019604,           0.0035186,           0.0058896,           0.0089308,           0.0089308,           0.0089308
                  29,            0.029696,           0.0098144,            0.010859,             0.89228,             0.88444,             0.91264,             0.65415,            0.018994,           0.0033022,           0.0057905,           0.0088912,           0.0088912,           0.0088912
                  30,            0.029116,           0.0097469,            0.010576,             0.88497,             0.86454,              0.9154,             0.65273,            0.018887,           0.0033945,           0.0055108,           0.0088516,           0.0088516,           0.0088516
                  31,            0.029077,           0.0095372,           0.0097221,             0.91397,             0.87068,             0.91576,             0.66805,            0.018649,           0.0033063,           0.0047213,            0.008812,            0.008812,            0.008812
                  32,            0.028601,           0.0095438,           0.0096894,             0.90836,              0.8705,             0.91588,             0.66645,            0.018354,           0.0032397,           0.0050551,           0.0087724,           0.0087724,           0.0087724
                  33,            0.028597,           0.0094767,           0.0097534,             0.89625,             0.88185,             0.91552,             0.67448,            0.018148,           0.0032409,           0.0054844,           0.0087328,           0.0087328,           0.0087328
                  34,             0.02865,           0.0094592,           0.0096886,             0.90631,             0.88227,             0.91609,             0.67734,            0.017645,           0.0032439,           0.0052324,           0.0086932,           0.0086932,           0.0086932
                  35,            0.027969,            0.009239,            0.010111,             0.87758,             0.90109,             0.92244,             0.67277,            0.018032,           0.0032446,           0.0048601,           0.0086536,           0.0086536,           0.0086536
                  36,            0.027977,           0.0090344,           0.0098012,             0.89685,             0.88761,             0.91948,             0.68084,            0.018136,           0.0031458,           0.0050108,            0.008614,            0.008614,            0.008614
                  37,            0.027327,           0.0090261,           0.0087056,             0.89964,             0.88999,             0.92234,             0.68524,            0.017943,           0.0031092,            0.005259,           0.0085744,           0.0085744,           0.0085744
                  38,            0.027523,           0.0090338,           0.0091295,             0.90355,             0.87738,             0.91981,             0.67998,            0.018055,           0.0031154,           0.0049479,           0.0085348,           0.0085348,           0.0085348
                  39,            0.027157,           0.0089007,           0.0086617,             0.89739,             0.90283,             0.92706,             0.69794,            0.017505,            0.003052,           0.0052956,           0.0084952,           0.0084952,           0.0084952
                  40,            0.026922,           0.0087726,           0.0087913,             0.91995,             0.89166,             0.93034,             0.69453,            0.017569,           0.0030393,           0.0051861,           0.0084556,           0.0084556,           0.0084556
                  41,            0.026524,           0.0089383,           0.0088956,             0.92685,             0.91437,             0.93722,             0.70205,            0.017468,           0.0029764,           0.0051645,            0.008416,            0.008416,            0.008416
                  42,            0.026652,           0.0088593,           0.0084683,             0.92292,             0.88098,             0.92748,             0.69803,            0.017313,           0.0030402,           0.0053868,           0.0083764,           0.0083764,           0.0083764
                  43,            0.026172,           0.0086218,           0.0082831,             0.91633,             0.90727,             0.93393,             0.70173,             0.01719,           0.0029249,           0.0050966,           0.0083368,           0.0083368,           0.0083368
