                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0634,                0.95308,                 1.4572,                0.95597,                0.91266,                0.95111,                0.65032,                  1.209,                 0.6316,                  1.492,               0.006634,               0.006634,               0.006634
                     37,                 1.0608,                0.94361,                 1.4555,                0.95465,                0.90608,                 0.9534,                0.64209,                 1.2082,                0.63845,                 1.4773,               0.006535,               0.006535,               0.006535
                     38,                 1.0514,                0.93083,                 1.4403,                0.96107,                0.92139,                0.95604,                0.64102,                 1.2343,                0.63356,                  1.497,               0.006436,               0.006436,               0.006436
                     39,                 1.0529,                0.92804,                 1.4412,                0.93776,                0.91906,                0.95496,                0.63957,                 1.2285,                 0.6417,                 1.4856,               0.006337,               0.006337,               0.006337
                     40,                  1.046,                 0.9311,                 1.4344,                0.94937,                0.90697,                0.95357,                0.65301,                 1.1828,                0.61914,                 1.4549,               0.006238,               0.006238,               0.006238
                     41,                 1.0393,                0.90738,                 1.4296,                0.94564,                0.91846,                0.95051,                0.64637,                 1.1923,                0.63362,                 1.4603,               0.006139,               0.006139,               0.006139
                     42,                   1.03,                0.89954,                 1.4205,                0.93711,                 0.9257,                0.95394,                0.65173,                 1.1975,                0.62284,                 1.4687,                0.00604,                0.00604,                0.00604
                     43,                 1.0245,                0.89191,                 1.4171,                0.94206,                0.91403,                0.95791,                0.65701,                 1.1784,                0.62729,                 1.4488,               0.005941,               0.005941,               0.005941
                     44,                 1.0086,                0.87292,                 1.3997,                0.94873,                0.91594,                0.95283,                0.65934,                 1.1784,                0.62907,                 1.4509,               0.005842,               0.005842,               0.005842
                     45,                 1.0064,                0.88021,                 1.4023,                0.94384,                0.92052,                0.95309,                0.65624,                  1.184,                0.63993,                  1.454,               0.005743,               0.005743,               0.005743
                     46,                 1.0074,                0.87251,                 1.3972,                0.94681,                0.92896,                0.95734,                0.66267,                 1.1852,                0.62642,                 1.4498,               0.005644,               0.005644,               0.005644
                     47,                0.98988,                 0.8561,                 1.3867,                 0.9573,                0.91964,                0.95464,                0.65972,                 1.1778,                0.62306,                 1.4464,               0.005545,               0.005545,               0.005545
                     48,                0.99456,                0.85813,                 1.3923,                 0.9469,                0.92071,                0.95453,                0.66396,                 1.1587,                 0.6102,                  1.434,               0.005446,               0.005446,               0.005446
                     49,                0.97535,                0.84508,                 1.3759,                0.94872,                0.91552,                0.95659,                0.66815,                 1.1424,                0.60272,                  1.424,               0.005347,               0.005347,               0.005347
                     50,                0.97031,                 0.8231,                 1.3652,                0.94796,                0.92071,                0.95753,                0.67232,                 1.1311,                0.59095,                 1.4121,               0.005248,               0.005248,               0.005248
                     51,                0.97089,                  0.828,                 1.3661,                0.95848,                0.92129,                 0.9556,                0.67494,                 1.1241,                0.58712,                 1.4086,               0.005149,               0.005149,               0.005149
                     52,                0.96368,                0.82678,                 1.3571,                0.95731,                 0.9217,                 0.9565,                0.67867,                 1.1114,                0.59021,                 1.3991,                0.00505,                0.00505,                0.00505
                     53,                0.96069,                  0.821,                 1.3512,                0.95841,                0.92439,                0.95563,                0.67899,                 1.1047,                0.59067,                 1.3901,               0.004951,               0.004951,               0.004951
                     54,                0.94771,                 0.8103,                 1.3493,                0.95809,                0.92061,                0.95594,                0.67972,                 1.1101,                0.58727,                 1.3895,               0.004852,               0.004852,               0.004852
