                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0152,                 4.7254,                  3.926,                0.16235,                0.12222,                0.10959,                0.04032,                 2.4075,                  3.823,                 3.1266,              0.0033311,              0.0033311,              0.0033311
                      2,                 2.1076,                 3.3031,                 2.7504,                0.26369,                0.33349,                 0.3146,                0.13766,                 1.9876,                 2.6088,                 2.5716,              0.0065985,              0.0065985,              0.0065985
                      3,                  1.795,                 2.6574,                  2.354,                0.51545,                0.43831,                0.49148,                0.19816,                 1.8716,                 2.5875,                 2.5255,              0.0097998,              0.0097998,              0.0097998
                      4,                 1.6805,                 2.3568,                 2.2145,                0.56832,                0.56461,                0.60864,                0.31345,                 1.7054,                 1.7659,                 2.2512,               0.009703,               0.009703,               0.009703
                      5,                 1.5666,                  2.035,                 2.0945,                0.69124,                 0.7349,                0.79009,                0.42569,                 1.5712,                 1.3953,                 2.1085,               0.009703,               0.009703,               0.009703
                      6,                 1.4798,                 1.8384,                 2.0025,                0.77022,                0.72006,                0.82251,                0.40197,                 1.7496,                 1.3385,                 2.2849,               0.009604,               0.009604,               0.009604
                      7,                 1.4346,                 1.7038,                 1.9432,                0.79244,                0.76567,                0.83273,                0.44417,                 1.6407,                 1.2172,                 2.0758,               0.009505,               0.009505,               0.009505
                      8,                 1.3791,                  1.579,                 1.8877,                0.82669,                0.78651,                0.86487,                0.48155,                 1.5735,                 1.1467,                 2.0547,               0.009406,               0.009406,               0.009406
                      9,                 1.3592,                 1.5045,                 1.8594,                0.83967,                0.82156,                0.87052,                0.50391,                  1.496,                  1.011,                 1.9552,               0.009307,               0.009307,               0.009307
                     10,                 1.3198,                 1.4164,                 1.8293,                 0.8881,                0.82908,                0.88961,                0.51544,                  1.473,                0.95919,                 1.9627,               0.009208,               0.009208,               0.009208
                     11,                 1.2916,                 1.3701,                 1.7932,                 0.8631,                0.84474,                0.89732,                0.53661,                 1.4564,                0.96851,                 1.9187,               0.009109,               0.009109,               0.009109
                     12,                 1.2665,                 1.2982,                 1.7715,                0.90285,                0.83496,                0.90405,                0.51558,                 1.5729,                0.92423,                 2.0232,                0.00901,                0.00901,                0.00901
                     13,                 1.2419,                 1.2542,                 1.7517,                0.89302,                0.88122,                0.91929,                0.54649,                 1.4767,                0.86296,                 1.9017,               0.008911,               0.008911,               0.008911
                     14,                 1.2155,                 1.2168,                 1.7172,                0.92319,                0.88839,                0.92277,                0.55732,                 1.3893,                0.82082,                 1.8603,               0.008812,               0.008812,               0.008812
                     15,                 1.2056,                 1.1867,                 1.7082,                0.94263,                0.86565,                0.94087,                0.60312,                 1.3557,                0.79193,                  1.808,               0.008713,               0.008713,               0.008713
                     16,                 1.1762,                 1.1395,                 1.6701,                0.93777,                0.88235,                0.93283,                0.57984,                 1.3632,                0.78397,                 1.8106,               0.008614,               0.008614,               0.008614
                     17,                 1.1627,                 1.0955,                 1.6668,                 0.9313,                0.90781,                0.94082,                0.60275,                 1.2943,                 0.7392,                 1.7464,               0.008515,               0.008515,               0.008515
                     18,                 1.1405,                 1.0665,                 1.6459,                0.94039,                0.85888,                0.93607,                0.60615,                 1.3036,                0.74389,                 1.7509,               0.008416,               0.008416,               0.008416
                     19,                 1.1234,                 1.0293,                  1.626,                0.93453,                0.90828,                0.94408,                0.62849,                 1.2441,                0.69058,                   1.71,               0.008317,               0.008317,               0.008317
                     20,                 1.1074,                 1.0183,                 1.6049,                0.93231,                0.91533,                0.93887,                 0.6173,                  1.268,                0.71262,                 1.7241,               0.008218,               0.008218,               0.008218
