                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4439,                 3.7809,                 1.7347,                0.49199,                0.40514,                0.48521,                0.32049,                 1.1694,                  2.884,                 1.3393,             0.00041118,             0.00041118,             0.00041118
                      2,                 1.2625,                 2.3914,                 1.5427,                0.88249,                0.57135,                0.61307,                0.45338,                 1.0969,                  1.715,                  1.366,             0.00081966,             0.00081966,             0.00081966
                      3,                 1.2275,                 1.8651,                 1.5102,                0.57907,                0.62679,                0.66523,                0.49487,                 1.0071,                 1.3449,                 1.3111,              0.0012199,              0.0012199,              0.0012199
                      4,                 1.2009,                 1.6776,                 1.5017,                0.50631,                0.65714,                0.67809,                0.49721,                 0.9793,                 1.1585,                 1.2574,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1448,                 1.4696,                 1.4489,                0.82585,                0.62541,                0.69264,                0.52624,                0.95903,                 1.0112,                 1.2783,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.1314,                 1.4073,                 1.4276,                0.63421,                0.61125,                0.69021,                 0.5255,                0.90601,                 1.0079,                  1.268,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.1071,                 1.2853,                 1.4075,                0.88278,                0.57857,                0.69493,                0.54812,                0.90185,                0.94629,                  1.287,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.0674,                 1.2558,                 1.3885,                0.85348,                0.61247,                0.69685,                0.50538,                 1.1219,                0.87816,                 1.4246,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.0801,                 1.1769,                 1.3832,                0.58885,                0.65346,                0.71117,                0.54703,                0.90718,                0.88454,                 1.3217,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.0482,                 1.1491,                 1.3707,                0.77991,                0.72519,                 0.7917,                 0.6194,                0.82897,                0.78681,                 1.2136,               0.001151,               0.001151,               0.001151
                     11,                 1.0094,                 1.0487,                 1.3282,                0.62645,                0.79849,                0.79298,                0.63037,                0.86363,                0.78397,                 1.1952,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.0002,                0.98786,                 1.3245,                0.78802,                0.73317,                0.83819,                0.67252,                0.82849,                0.76113,                 1.2126,              0.0011263,              0.0011263,              0.0011263
                     13,                0.99482,                0.98944,                 1.3238,                0.72015,                0.79573,                 0.7753,                0.59382,                0.84628,                0.83101,                 1.2481,              0.0011139,              0.0011139,              0.0011139
                     14,                0.98906,                0.98368,                 1.3204,                 0.8314,                0.72595,                0.84608,                0.65655,                0.78306,                 0.7251,                 1.1939,              0.0011015,              0.0011015,              0.0011015
                     15,                0.97395,                0.98854,                  1.309,                0.73523,                0.78796,                0.80481,                0.65375,                0.80109,                0.77782,                  1.169,              0.0010891,              0.0010891,              0.0010891
                     16,                0.95622,                0.95114,                 1.2769,                0.73013,                0.73705,                0.79083,                0.62108,                0.79808,                0.71491,                  1.168,              0.0010768,              0.0010768,              0.0010768
